name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Gabriel Barbosa ,23,Centre-Forward,Brazil,€23.00m,Inter Milan,Serie A,Italy,€17.50m,2019,CR Flamengo,Série A,Brazil,"1,78 m",NONE,"Jan 28, 2020","Dec 31, 2024",45,45,1.98,27,9,0,3,18,8,1,1,7,130',3.502',São Bernardo do ... ,"                                Aug 30, 1996                                                                    (26)                                                            "
Steven Nzonzi ,30,Defensive Midfield,France,€23.00m,AS Roma,Serie A,Italy,loan transfer,2019,Galatasaray,Süper Lig,Turkey,"1,96 m",NONE,"Sep 28, 2021","Jun 30, 2023",25,22,1.41,0,1,0,1,3,5,0,0,0,0,1.849',                                    Colombes                                ,"                                Dec 15, 1988                                                                    (34)                                                            "
Simone Verdi ,27,Attacking Midfield,Italy,€23.00m,SSC Napoli,Serie A,Italy,loan transfer,2019,Torino FC,Serie A,Italy,"1,74 m",NONE,"Sep 1, 2022","Jun 30, 2023",36,34,0.88,2,8,0,7,21,4,0,0,0,1.104',2.208',                                    Broni                                ,"                                Jul 12, 1992                                                                    (30)                                                            "
Raúl de Tomás ,25,Centre-Forward,Spain,€15.00m,SL Benfica,Liga NOS,Portugal,€22.50m,2019,RCD Espanyol Barcelona,LaLiga,Spain,"1,80 m",NONE,"Sep 13, 2022","Jun 30, 2027",36,32,1.50,8,1,0,9,8,6,0,0,1,268',2.146',                                    Madrid                                ,"                                Oct 17, 1994                                                                    (28)                                                            "
Valentino Lazaro ,23,Right-Back,Austria,€17.00m,Hertha BSC,Bundesliga,Germany,€22.40m,2019,Inter Milan,Serie A,Italy,"1,80 m",Unique Sports Group ,"Aug 1, 2022","Jun 30, 2023",41,26,1.50,2,2,0,17,6,2,0,1,0,546',1.092',                                    Graz                                ,"                                Mar 24, 1996                                                                    (27)                                                            "
Victor Osimhen ,20,Centre-Forward,Nigeria,€13.00m,RSC Charleroi,Jupiler Pro League,Belgium,€22.40m,2019,LOSC Lille,Ligue 1,France,"1,86 m",NONE,"Sep 1, 2020","Jun 30, 2025",39,38,1.63,18,6,0,5,5,5,0,0,2,167',3.012',                                    Lagos                                ,"                                Dec 29, 1998                                                                    (24)                                                            "
Tyrone Mings ,26,Centre-Back,England,€5.00m,AFC Bournemouth,Premier League,England,€22.30m,2019,Aston Villa,Premier League,England,"1,96 m",Wasserman ,"Jul 8, 2019","Jun 30, 2026",37,36,1.00,2,2,0,0,1,8,0,0,0,1.587',3.173',                                    Bath                                ,"                                Mar 13, 1993                                                                    (30)                                                            "
Adam Webster ,24,Centre-Back,England,€9.00m,Bristol City,Championship,England,€22.22m,2019,Brighton & Hove Albion,Premier League,England,"1,90 m",NONE,"Aug 3, 2019","Jun 30, 2026",38,33,1.09,3,1,1,0,2,4,0,0,0,950',2.850',                                    West Wittering                                ,"                                Jan 4, 1995                                                                    (28)                                                            "
Luca Pellegrini ,20,Left-Back,Italy,€5.00m,AS Roma,Serie A,Italy,€22.00m,2019,Juventus FC,Serie A,Italy,"1,78 m",NONE,"Jan 31, 2023","Jun 30, 2023",28,24,1.33,0,6,0,2,7,10,0,0,0,0,1.911',                                    Roma                                ,"                                Mar 7, 1999                                                                    (24)                                                            "
Filip Kostić ,26,Left Midfield,Serbia,€22.00m,Hamburger SV,2. Bundesliga,Germany,€6.30m,2019,Eintracht Frankfurt,Bundesliga,Germany,"1,84 m",NONE,"Aug 12, 2022","Jun 30, 2026",51,51,1.55,12,18,0,0,3,6,0,1,0,381',4.570',                                    Kragujevac                                ,"                                Nov 1, 1992                                                                    (30)                                                            "
Gianluca Mancini ,23,Centre-Back,Italy,€22.00m,Atalanta BC,Serie A,Italy,Loan fee:€2.00m,2019,AS Roma,Serie A,Italy,"1,90 m",NONE,"Sep 1, 2020","Jun 30, 2027",44,41,1.66,1,1,0,1,4,15,1,1,0,3.520',3.520',                                    Pontedera                                ,"                                Apr 17, 1996                                                                    (26)                                                            "
Christian Kouamé ,22,Centre-Forward,Cote d'Ivoire,€22.00m,Genoa CFC,Serie A,Italy,Loan fee:€1.00m,2019,ACF Fiorentina,Serie A,Italy,"1,85 m",NONE,"Sep 1, 2020","Jun 30, 2024",21,19,1.21,6,5,0,5,5,1,0,0,0,215',1.287',                                    Abidjan                                ,"                                Dec 6, 1997                                                                    (25)                                                            "
Héctor Herrera ,29,Central Midfield,Mexico,€22.00m,FC Porto,Liga NOS,Portugal,free transfer,2019,Atlético de Madrid,LaLiga,Spain,"1,80 m",NONE,"Jul 7, 2022","Dec 31, 2024",43,30,1.57,1,2,0,12,11,2,0,0,0,1.530',1.530',                                    Tijuana                                ,"                                Apr 19, 1990                                                                    (32)                                                            "
Alfonso Pedraza ,23,Left-Back,Spain,€22.00m,Villarreal CF,LaLiga,Spain,loan transfer,2019,Real Betis Balompié,LaLiga,Spain,"1,84 m",NONE,"Jul 1, 2016","Jun 30, 2026",23,21,1.10,1,0,0,6,8,3,0,0,0,1.350',1.350',San Sebastián de ... ,"                                Apr 9, 1996                                                                    (26)                                                            "
André Silva ,23,Centre-Forward,Portugal,€22.00m,AC Milan,Serie A,Italy,loan transfer,2019,Eintracht Frankfurt,Bundesliga,Germany,"1,85 m",Gestifute ,"Jul 2, 2021","Jun 30, 2026",43,38,1.29,16,5,0,9,18,4,0,0,3,160',2.563',                                    Baguim do Monte                                ,"                                Nov 6, 1995                                                                    (27)                                                            "
Renan Lodi ,21,Left-Back,Brazil,€4.00m,Club Athletico Paranaense,Série A,Brazil,€21.75m,2019,Atlético de Madrid,LaLiga,Spain,"1,73 m",NONE,"Aug 29, 2022","Jun 30, 2023",47,43,1.70,1,3,0,4,11,7,1,0,0,3.317',3.317',                                    Serrana                                ,"                                Apr 8, 1998                                                                    (24)                                                            "
Jarrod Bowen ,23,Right Winger,England,€10.00m,Hull City,Championship,England,€21.30m,2019,West Ham United,Premier League,England,"1,82 m",NONE,"Jan 31, 2020","Jun 30, 2025",46,45,1.27,18,10,0,4,7,5,0,0,0,204',3.679',                                    Leominster                                ,"                                Dec 20, 1996                                                                    (26)                                                            "
Luis Muriel ,28,Centre-Forward,Colombia,€13.00m,Sevilla FC,LaLiga,Spain,€21.20m,2019,Atalanta BC,Serie A,Italy,"1,79 m",NONE,"Jul 1, 2019","Jun 30, 2024",45,41,1.78,19,1,0,28,11,2,0,0,7,82',1.551',                                    Santo Tomás                                ,"                                Apr 16, 1991                                                                    (31)                                                            "
Amadou Diawara ,21,Defensive Midfield,Guinea,€15.00m,SSC Napoli,Serie A,Italy,€21.00m,2019,AS Roma,Serie A,Italy,"1,83 m",ROOF ,"Aug 31, 2022","Jun 30, 2025",37,31,1.77,1,1,0,4,11,7,0,0,1,2.198',2.198',                                    Conakry                                ,"                                Jul 17, 1997                                                                    (25)                                                            "
